Device,Event,Event_Detail,Count,First_Seen,Risk_Level,Recommendation
R1,Interface Flap,Interface GigabitEthernet0/1 flapped 3 times in 1 hour.,3,2025-10-17 08:00:00,Medium,"Investigate physical layer (cabling, SFP transceivers, line card) on interface GigabitEthernet0/1. Check for duplex mismatches or hardware faults."
R2,Interface Flap,Interface GigabitEthernet0/2 flapped 3 times in 1 hour.,3,2025-10-19 07:00:00,Medium,"Investigate physical layer (cabling, SFP transceivers, line card) on interface GigabitEthernet0/2. Check for duplex mismatches or hardware faults."
R3,Interface Flap,Interface GigabitEthernet0/3 flapped 2 times in 1 hour.,2,2025-10-18 09:00:00,Medium,"Investigate physical layer (cabling, SFP transceivers, line card) on interface GigabitEthernet0/3. Check for duplex mismatches or hardware faults."
R1,BGP Instability,BGP Peer 10.10.10.2 offline within 10 minutes of establishing.,1,2025-10-17 08:22:25,High,"Check BGP configuration, peering status, and physical path stability for peer 10.10.10.2. Adjust BGP keepalive/hold timers if needed."
R1,BGP Instability,BGP Peer 10.10.10.2 offline within 10 minutes of establishing.,1,2025-10-17 08:26:20,High,"Check BGP configuration, peering status, and physical path stability for peer 10.10.10.2. Adjust BGP keepalive/hold timers if needed."
R2,BGP Instability,BGP Peer 172.16.0.2 offline within 10 minutes of establishing.,1,2025-10-17 09:22:10,High,"Check BGP configuration, peering status, and physical path stability for peer 172.16.0.2. Adjust BGP keepalive/hold timers if needed."
R4,BGP Instability,BGP Peer 10.20.30.2 offline within 10 minutes of establishing.,1,2025-10-18 09:06:11,High,"Check BGP configuration, peering status, and physical path stability for peer 10.20.30.2. Adjust BGP keepalive/hold timers if needed."
R4,BGP Instability,BGP Peer 192.168.200.2 offline within 10 minutes of establishing.,1,2025-10-18 09:25:39,High,"Check BGP configuration, peering status, and physical path stability for peer 192.168.200.2. Adjust BGP keepalive/hold timers if needed."
R4,BGP Instability,BGP Peer 10.10.10.3 offline within 10 minutes of establishing.,1,2025-10-18 09:46:13,High,"Check BGP configuration, peering status, and physical path stability for peer 10.10.10.3. Adjust BGP keepalive/hold timers if needed."
R1,BGP Instability,BGP Peer 192.168.1.2 offline within 10 minutes of establishing.,1,2025-10-19 07:00:49,High,"Check BGP configuration, peering status, and physical path stability for peer 192.168.1.2. Adjust BGP keepalive/hold timers if needed."
R4,BGP Instability,BGP Peer 192.168.50.2 offline within 10 minutes of establishing.,1,2025-10-20 09:16:58,High,"Check BGP configuration, peering status, and physical path stability for peer 192.168.50.2. Adjust BGP keepalive/hold timers if needed."
R1,BGP Instability,BGP Peer 172.16.200.2 offline within 10 minutes of establishing.,1,2025-10-20 09:41:47,High,"Check BGP configuration, peering status, and physical path stability for peer 172.16.200.2. Adjust BGP keepalive/hold timers if needed."
R4,BGP Instability,Device experienced 3 peer disconnects in 1 day.,3,2025-10-18 00:00:00,High,"Check BGP configuration, peering status, and physical path stability for peer multiple peers. Adjust BGP keepalive/hold timers if needed."
R4,CPU Spike,Critical CPU usage reached 95% (exceeded 95% threshold).,1,2025-10-18 09:59:00,Critical,"Analyze active processes and device traffic. Consider throttling SNMP polling frequency, or scheduling telemetry during maintenance windows."
R4,CPU Spike,Critical CPU usage reached 95% (exceeded 95% threshold).,1,2025-10-20 09:22:55,Critical,"Analyze active processes and device traffic. Consider throttling SNMP polling frequency, or scheduling telemetry during maintenance windows."
R1,CPU Spike,Device registered 3 spikes (>80%) in 1 hour.,3,2025-10-17 08:00:00,High,"Analyze active processes and device traffic. Consider throttling SNMP polling frequency, or scheduling telemetry during maintenance windows."
R1,SNMP Authentication Failure,Repeated SNMP authorization failures (3) from IP 10.0.2.55.,3,2025-10-17 08:46:03,High,Identify the source device at IP 10.0.2.55. Verify its configured SNMP community string or credentials. Block unauthorized polling using ACLs if necessary.
R1,SNMP Authentication Failure,Repeated SNMP authorization failures (3) from IP 10.0.3.55.,3,2025-10-19 07:41:09,High,Identify the source device at IP 10.0.3.55. Verify its configured SNMP community string or credentials. Block unauthorized polling using ACLs if necessary.
R3,SNMP Authentication Failure,Repeated SNMP authorization failures (3) from IP 10.0.6.10.,3,2025-10-18 09:04:12,High,Identify the source device at IP 10.0.6.10. Verify its configured SNMP community string or credentials. Block unauthorized polling using ACLs if necessary.
R4,SNMP Authentication Failure,Repeated SNMP authorization failures (3) from IP 10.0.8.81.,3,2025-10-19 07:48:21,High,Identify the source device at IP 10.0.8.81. Verify its configured SNMP community string or credentials. Block unauthorized polling using ACLs if necessary.
